Date,Close,
1/2/2019 16:00,21.27,
1/3/2019 16:00,20.35,
1/4/2019 16:00,22.27,
1/7/2019 16:00,22.76,
1/8/2019 16:00,22.95,
1/9/2019 16:00,23.69,
1/10/2019 16:00,23.4,
1/11/2019 16:00,22.88,
1/14/2019 16:00,22.04,
1/15/2019 16:00,22.25,
1/16/2019 16:00,22.33,
1/17/2019 16:00,22.14,
1/18/2019 16:00,23.26,
1/22/2019 16:00,21.68,
1/23/2019 16:00,21.97,
1/24/2019 16:00,22.1,
1/25/2019 16:00,23.63,
1/28/2019 16:00,23.72,
1/29/2019 16:00,23.52,
1/30/2019 16:00,24.64,
1/31/2019 16:00,24.85,
2/1/2019 16:00,24.63,
2/4/2019 16:00,24.29,
2/5/2019 16:00,25.42,
2/6/2019 16:00,25.11,
2/7/2019 16:00,23.98,
2/8/2019 16:00,23.99,
2/11/2019 16:00,24.28,
2/12/2019 16:00,24.68,
2/13/2019 16:00,24.61,
2/14/2019 16:00,24.33,
2/15/2019 16:00,23.96,
2/19/2019 16:00,24.64,
2/20/2019 16:00,24.68,
2/21/2019 16:00,24.27,
2/22/2019 16:00,25.95,
2/25/2019 16:00,26.19,
2/26/2019 16:00,26.59,
2/27/2019 16:00,25.97,
2/28/2019 16:00,27.71,
3/1/2019 16:00,28.73,
3/4/2019 16:00,28.89,
3/5/2019 16:00,29.35,
3/6/2019 16:00,29.03,
3/7/2019 16:00,27.84,
3/8/2019 16:00,27.05,
3/11/2019 16:00,27.62,
3/12/2019 16:00,28.11,
3/13/2019 16:00,28.13,
3/14/2019 16:00,27.89,
3/15/2019 16:00,27.93,
3/18/2019 16:00,28.14,
3/19/2019 16:00,28.31,
3/20/2019 16:00,28.08,
3/21/2019 16:00,28.76,
3/22/2019 16:00,28,
3/25/2019 16:00,28.39,
3/26/2019 16:00,28.81,
3/27/2019 16:00,29.16,
3/28/2019 16:00,29.41,
3/29/2019 16:00,30.15,
4/1/2019 16:00,31.26,
4/2/2019 16:00,30.29,
4/3/2019 16:00,30.31,
4/4/2019 16:00,30.25,
4/5/2019 16:00,31.24,
4/8/2019 16:00,30.79,
4/9/2019 16:00,30.9,
4/10/2019 16:00,30.17,
4/11/2019 16:00,30.2,
4/12/2019 16:00,30.57,
4/15/2019 16:00,29.66,
4/16/2019 16:00,29.91,
4/17/2019 16:00,29.85,
4/18/2019 16:00,30.01,
4/22/2019 16:00,29.65,
4/23/2019 16:00,29.78,
4/24/2019 16:00,29.66,
4/25/2019 16:00,29.23,
4/26/2019 16:00,29.13,
4/29/2019 16:00,29.87,
4/30/2019 16:00,30.27,
5/1/2019 16:00,30.2,
5/2/2019 16:00,29.99,
5/3/2019 16:00,30.05,
5/6/2019 16:00,28.7,
5/7/2019 16:00,27.13,
5/8/2019 16:00,26.89,
5/9/2019 16:00,27.51,
5/10/2019 16:00,28.17,
5/13/2019 16:00,28.18,
5/14/2019 16:00,29.67,
5/15/2019 16:00,30.44,
5/16/2019 16:00,30.46,
5/17/2019 16:00,29.31,
5/20/2019 16:00,28.36,
5/21/2019 16:00,29.05,
5/22/2019 16:00,28.23,
5/23/2019 16:00,26.7,
5/24/2019 16:00,26.32,
5/28/2019 16:00,26.27,
5/29/2019 16:00,26.01,
5/30/2019 16:00,26.35,
5/31/2019 16:00,25.76,
6/3/2019 16:00,25.76,
6/4/2019 16:00,26.8,
6/5/2019 16:00,26.19,
6/6/2019 16:00,26.24,
6/7/2019 16:00,26.8,
6/10/2019 16:00,27.26,
6/11/2019 16:00,28,
6/12/2019 16:00,27.24,
6/13/2019 16:00,27.54,
6/14/2019 16:00,27.05,
6/17/2019 16:00,27.33,
6/18/2019 16:00,28.26,
6/19/2019 16:00,28.66,
6/20/2019 16:00,29.12,
6/21/2019 16:00,29.06,
6/24/2019 16:00,28.91,
6/25/2019 16:00,28.5,
6/26/2019 16:00,30.14,
6/27/2019 16:00,30.29,
6/28/2019 16:00,30.29,
7/1/2019 16:00,31.19,
7/2/2019 16:00,31.45,
7/3/2019 13:00,31.5,
7/5/2019 16:00,31.03,
7/8/2019 16:00,30.57,
7/9/2019 16:00,30.75,
7/10/2019 16:00,30.71,
7/11/2019 16:00,30.51,
7/12/2019 16:00,31.08,
7/15/2019 16:00,31.03,
7/16/2019 16:00,30.72,
7/17/2019 16:00,30.71,
7/18/2019 16:00,30.58,
7/19/2019 16:00,30.99,
7/22/2019 16:00,30.66,
7/23/2019 16:00,31.85,
7/24/2019 16:00,32.2,
7/25/2019 16:00,31.83,
7/26/2019 16:00,31.55,
7/29/2019 16:00,31.39,
7/30/2019 16:00,30.42,
7/31/2019 16:00,29.91,
8/1/2019 16:00,28.61,
8/2/2019 16:00,28.01,
8/5/2019 16:00,26.17,
8/6/2019 16:00,26.48,
8/7/2019 16:00,26.57,
8/8/2019 16:00,27.54,
8/9/2019 16:00,27.1,
8/12/2019 16:00,27.16,
8/13/2019 16:00,30.66,
8/14/2019 16:00,29.63,
8/15/2019 16:00,30.16,
8/16/2019 16:00,31.29,
8/19/2019 16:00,31.58,
8/20/2019 16:00,31.42,
8/21/2019 16:00,30.74,
8/22/2019 16:00,29.49,
8/23/2019 16:00,28.77,
8/26/2019 16:00,29.74,
8/27/2019 16:00,29.92,
8/28/2019 16:00,30.3,
8/29/2019 16:00,30.74,
8/30/2019 16:00,30.5,
9/3/2019 16:00,29.45,
9/4/2019 16:00,29.88,
9/5/2019 16:00,30.84,
9/6/2019 16:00,31.08,
9/9/2019 16:00,31.48,
9/10/2019 16:00,30.87,
9/11/2019 16:00,31.07,
9/12/2019 16:00,31.52,
9/13/2019 16:00,31.23,
9/16/2019 16:00,30.85,
9/17/2019 16:00,31.17,
9/18/2019 16:00,31.04,
9/19/2019 16:00,31.05,
9/20/2019 16:00,30.94,
9/23/2019 16:00,30.33,
9/24/2019 16:00,29.41,
9/25/2019 16:00,29.99,
9/26/2019 16:00,29.58,
9/27/2019 16:00,27.82,
