Date,Close,,,,,,,
1/2/2019 16:00,136.7,,,,,,,
1/3/2019 16:00,130.6,,,,,,,
1/4/2019 16:00,139.75,,,,,,,
1/7/2019 16:00,143.1,,,,,,,
1/8/2019 16:00,146.79,,,,,,,
1/9/2019 16:00,151.92,,,,,,,
1/10/2019 16:00,151.69,,,,,,,
1/11/2019 16:00,151.32,,,,,,,
1/14/2019 16:00,149.27,,,,,,,
1/15/2019 16:00,150.88,,,,,,,
1/16/2019 16:00,154.84,,,,,,,
1/17/2019 16:00,155.97,,,,,,,
1/18/2019 16:00,157.02,,,,,,,
1/22/2019 16:00,152.15,,,,,,,
1/23/2019 16:00,152.03,,,,,,,
1/24/2019 16:00,155.86,,,,,,,
1/25/2019 16:00,159.21,,,,,,,
1/28/2019 16:00,158.92,,,,,,,
1/29/2019 16:00,156.88,,,,,,,
1/30/2019 16:00,166.82,,,,,,,
1/31/2019 16:00,168.49,,,,,,,
2/1/2019 16:00,167.97,,,,,,,
2/4/2019 16:00,166.7,,,,,,,
2/5/2019 16:00,171.83,,,,,,,
2/6/2019 16:00,171.52,,,,,,,
2/7/2019 16:00,166.96,,,,,,,
2/8/2019 16:00,167.36,,,,,,,
2/11/2019 16:00,167.45,,,,,,,
2/12/2019 16:00,168.71,,,,,,,
2/13/2019 16:00,169.4,,,,,,,
2/14/2019 16:00,168.38,,,,,,,
2/15/2019 16:00,166.15,,,,,,,
2/19/2019 16:00,170.18,,,,,,,
2/20/2019 16:00,170.71,,,,,,,
2/21/2019 16:00,171.66,,,,,,,
2/22/2019 16:00,176.92,,,,,,,
2/25/2019 16:00,183.25,,,,,,,
2/26/2019 16:00,183.54,,,,,,,
2/27/2019 16:00,184.58,,,,,,,
2/28/2019 16:00,183.03,,,,,,,
3/1/2019 16:00,183.88,,,,,,,
3/4/2019 16:00,187.25,,,,,,,
3/5/2019 16:00,185,,,,,,,
3/6/2019 16:00,184.17,,,,,,,
3/7/2019 16:00,177.32,,,,,,,
3/8/2019 16:00,175.03,,,,,,,
3/11/2019 16:00,180.41,,,,,,,
3/12/2019 16:00,180.63,,,,,,,
3/13/2019 16:00,180.7,,,,,,,
3/14/2019 16:00,180.36,,,,,,,
3/15/2019 16:00,180.97,,,,,,,
3/18/2019 16:00,181.83,,,,,,,
3/19/2019 16:00,182.14,,,,,,,
3/20/2019 16:00,181.28,,,,,,,
3/21/2019 16:00,181.5,,,,,,,
3/22/2019 16:00,176.26,,,,,,,
3/25/2019 16:00,178.77,,,,,,,
3/26/2019 16:00,178.08,,,,,,,
3/27/2019 16:00,177.03,,,,,,,
3/28/2019 16:00,177.73,,,,,,,
3/29/2019 16:00,182.45,,,,,,,
4/1/2019 16:00,180.89,,,,,,,
4/2/2019 16:00,181.74,,,,,,,
4/3/2019 16:00,178.32,,,,,,,
4/4/2019 16:00,181.07,,,,,,,
